Id,Sentence,Target
1,The classroom was a zoo.,Metaphor
2,The stars were diamonds in the sky.,Metaphor
3,Time is a thief that steals our moments.,Metaphor
4,Life is a journey with many paths.,Metaphor
5,Her mind was a maze of thoughts.,Metaphor
6,The wind whispered secrets through the trees.,Metaphor
7,The night was a blanket covering the earth.,Metaphor
8,Books are the keys to knowledge.,Metaphor
9,The mountain stood as a silent guardian.,Metaphor
10,"Her thoughts were butterflies, flitting around.",Metaphor
11,His words were daggers.,Metaphor
12,The city was a jungle of steel and concrete.,Metaphor
13,His heart was a stone.,Metaphor
14,Her smile was a ray of sunshine.,Metaphor
15,The river was a ribbon of silver.,Metaphor
16,The storm was a beast in the sky.,Metaphor
17,The room was a sea of tension.,Metaphor
18,The sun was a golden coin in the sky.,Metaphor
19,His life was a book waiting to be written.,Metaphor
20,Her eyes were windows to the soul.,Metaphor
21,The future is a blank canvas.,Metaphor
22,His anger was a fire.,Metaphor
23,Her voice was music to his ears.,Metaphor
24,The past is a foreign country.,Metaphor
25,The house was a fortress.,Metaphor
26,The garden was a paradise.,Metaphor
27,The car was a beast on the road.,Metaphor
28,His mind was a computer.,Metaphor
29,Her love was a drug.,Metaphor
30,The road was a ribbon of asphalt.,Metaphor
31,His smile was a beacon of hope.,Metaphor
32,The ocean was a mirror of the sky.,Metaphor
33,Her eyes were pools of mystery.,Metaphor
34,The sky was a canvas of colors.,Metaphor
35,The city was a beehive of activity.,Metaphor
36,His laughter was a symphony.,Metaphor
37,Her tears were a river.,Metaphor
38,The forest was a cathedral of trees.,Metaphor
39,The desert was a sea of sand.,Metaphor
40,The moon was a ghostly galleon.,Metaphor
41,His touch was a whisper.,Metaphor
42,The mountain was a giant.,Metaphor
43,Her words were honey.,Metaphor
44,The snow was a blanket of white.,Metaphor
45,His eyes were black holes.,Metaphor
46,The wind was a wolf howling in the night.,Metaphor
47,The car was a rocket.,Metaphor
48,The room was an oven.,Metaphor
49,The rain was a curtain.,Metaphor
50,His fists were hammers.,Metaphor
51,Her hair was a waterfall.,Metaphor
52,The sun was a furnace.,Metaphor
53,The lake was a mirror.,Metaphor
54,His soul was a dark forest.,Metaphor
55,The sky was a dome of blue.,Metaphor
56,The stars were lanterns in the sky.,Metaphor
57,The forest was a maze.,Metaphor
58,The river was a serpent.,Metaphor
59,The mountain was a giant.,Metaphor
60,Her eyes were stars.,Metaphor
61,The ocean was a monster.,Metaphor
62,The house was a cage.,Metaphor
63,The car was a bullet.,Metaphor
64,The wind was a lion.,Metaphor
65,The city was a jungle.,Metaphor
66,The desert was a furnace.,Metaphor
67,The rain was a flood.,Metaphor
68,The fire was a beast.,Metaphor
69,The snow was a ghost.,Metaphor
70,The storm was a giant.,Metaphor
71,The sun was a torch.,Metaphor
72,The moon was a pearl.,Metaphor
73,The night was a cloak.,Metaphor
74,The stars were jewels.,Metaphor
75,The forest was a labyrinth.,Metaphor
76,The river was a ribbon.,Metaphor
77,The mountain was a fortress.,Metaphor
78,Her eyes were flames.,Metaphor
79,The ocean was a leviathan.,Metaphor
80,The house was a prison.,Metaphor
81,The car was a cheetah.,Metaphor
82,The wind was a dragon.,Metaphor
83,The city was a hive.,Metaphor
84,The desert was a wasteland.,Metaphor
85,The rain was a symphony.,Metaphor
86,The fire was a phoenix.,Metaphor
87,The snow was a dream.,Metaphor
88,The storm was a fury.,Metaphor
89,The sun was a god.,Metaphor
90,The moon was a dream.,Metaphor
91,The night was a phantom.,Metaphor
92,The stars were beacons.,Metaphor
93,The forest was a sanctuary.,Metaphor
94,The river was a pathway.,Metaphor
95,The mountain was a throne.,Metaphor
96,Her eyes were oceans.,Metaphor
97,The ocean was a cradle.,Metaphor
98,The house was a palace.,Metaphor
99,The car was a ship.,Metaphor
100,The wind was a whisper.,Metaphor
101,The city was a machine.,Metaphor
102,The desert was an expanse.,Metaphor
103,The rain was a dance.,Metaphor
104,The fire was a spirit.,Metaphor
105,The snow was a whisper.,Metaphor
106,The storm was a battle.,Metaphor
107,The sun was a gem.,Metaphor
108,The moon was a coin.,Metaphor
109,The night was a dream.,Metaphor
110,The stars were friends.,Metaphor
111,Her eyes were deep oceans,Metaphor
